Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,isolate,strain,Library Name,BioSampleModel,geo_loc_name,Host,isolation_source,collected_by,sample_type,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-STATUS-ID (exp),ENA-STATUS-ID (run),geographic_location_(country_and/or_sea),host_health_state,host_scientific_name,INSDC_center_name,INSDC_status,Sample_name,Scientific_Name,Submitter_Id,Host_disease,lat_lon,subgroup,Host_age,PARR_ID,sub_species
SRR33343081,WGS,288,932016827,PRJNA1256480,SAMN48182333,285321703,COLUMBIA UNIVERSITY,Not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28587601,South Africa,Africa,NextSeq 500,PAIRED,PCR,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2026-03-31T00:00:00Z,2025-04-28T17:41:00Z,1,YA00531975_S60_R1_001,SRP581831,YA00531975_S60_R1_001,Not collected,YA00531975_S60_R1_001,"Microbe\, viral or environmental",South Africa,Homo sapiens,,,Cell culture,,,,,,,,,,,,,,,,,,,
SRR33343103,WGS,288,1018847971,PRJNA1256480,SAMN48182181,312731519,COLUMBIA UNIVERSITY,Not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28587579,South Africa,Africa,NextSeq 500,PAIRED,PCR,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2026-03-31T00:00:00Z,2025-04-28T17:42:00Z,1,YA00511571_S59_R1_001,SRP581831,YA00511571_S59_R1_001,Not collected,YA00511571_S59_R1_001,"Microbe\, viral or environmental",South Africa,Homo sapiens,,,Cell culture,,,,,,,,,,,,,,,,,,,
SRR33343120,WGS,289,946663760,PRJNA1256480,SAMN48182153,290845839,COLUMBIA UNIVERSITY,Not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28587562,South Africa,Africa,NextSeq 500,PAIRED,PCR,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2026-03-31T00:00:00Z,2025-04-28T17:50:00Z,1,YA00509301_S62_R1_001,SRP581831,YA00509301_S62_R1_001,Not collected,YA00509301_S62_R1_001,"Microbe\, viral or environmental",South Africa,Homo sapiens,,,Cell culture,,,,,,,,,,,,,,,,,,,
SRR33343122,WGS,289,991889179,PRJNA1256480,SAMN48182149,305320489,COLUMBIA UNIVERSITY,Not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28587560,South Africa,Africa,NextSeq 500,PAIRED,PCR,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2026-03-31T00:00:00Z,2025-04-28T17:50:00Z,1,YA00509169_S61_R1_001,SRP581831,YA00509169_S61_R1_001,Not collected,YA00509169_S61_R1_001,"Microbe\, viral or environmental",South Africa,Homo sapiens,,,Cell culture,,,,,,,,,,,,,,,,,,,
SRR33343123,WGS,285,1114243892,PRJNA1256480,SAMN48182147,342478978,COLUMBIA UNIVERSITY,Not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28587559,South Africa,Africa,NextSeq 500,PAIRED,PCR,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2026-03-31T00:00:00Z,2025-04-28T17:50:00Z,1,YA00508970_S47_R1_001,SRP581831,YA00508970_S47_R1_001,Not collected,YA00508970_S47_R1_001,"Microbe\, viral or environmental",South Africa,Homo sapiens,,,Cell culture,,,,,,,,,,,,,,,,,,,
SRR33343142,WGS,285,1240639465,PRJNA1256480,SAMN48182113,394508927,COLUMBIA UNIVERSITY,Not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28587540,South Africa,Africa,NextSeq 500,PAIRED,PCR,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2026-03-31T00:00:00Z,2025-04-28T17:51:00Z,1,YA00507757_S156_R1_001,SRP581831,YA00507757_S156_R1_001,Not collected,YA00507757_S156_R1_001,"Microbe\, viral or environmental",South Africa,Homo sapiens,,,Cell culture,,,,,,,,,,,,,,,,,,,
SRR33343152,WGS,276,977829898,PRJNA1256480,SAMN48182095,306263070,COLUMBIA UNIVERSITY,Not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28587530,South Africa,Africa,NextSeq 500,PAIRED,PCR,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2026-03-31T00:00:00Z,2025-04-28T17:51:00Z,1,YA00506369_BPRE_S77_R1_001,SRP581831,YA00506369_BPRE_S77_R1_001,Not collected,YA00506369_BPRE_S77_R1_001,"Microbe\, viral or environmental",South Africa,Homo sapiens,,,Cell culture,,,,,,,,,,,,,,,,,,,
SRR33343215,WGS,288,1008713398,PRJNA1256480,SAMN48182011,311218063,COLUMBIA UNIVERSITY,Not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28587467,South Africa,Africa,NextSeq 500,PAIRED,PCR,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2026-03-31T00:00:00Z,2025-04-28T17:51:00Z,1,YA00505464_S70_R1_001,SRP581831,YA00505464_S70_R1_001,Not collected,YA00505464_S70_R1_001,"Microbe\, viral or environmental",South Africa,Homo sapiens,,,Cell culture,,,,,,,,,,,,,,,,,,,
SRR33343226,WGS,288,999606283,PRJNA1256480,SAMN48181991,308172796,COLUMBIA UNIVERSITY,Not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28587456,South Africa,Africa,NextSeq 500,PAIRED,PCR,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2026-03-31T00:00:00Z,2025-04-28T17:51:00Z,1,YA00505429_S68_R1_001,SRP581831,YA00505429_S68_R1_001,Not collected,YA00505429_S68_R1_001,"Microbe\, viral or environmental",South Africa,Homo sapiens,,,Cell culture,,,,,,,,,,,,,,,,,,,
SRR33343260,WGS,288,976835810,PRJNA1256480,SAMN48182213,300532049,COLUMBIA UNIVERSITY,Not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28587423,South Africa,Africa,NextSeq 500,PAIRED,PCR,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2026-03-31T00:00:00Z,2025-04-28T17:51:00Z,1,YA00514688_S53_R1_001,SRP581831,YA00514688_S53_R1_001,Not collected,YA00514688_S53_R1_001,"Microbe\, viral or environmental",South Africa,Homo sapiens,,,Cell culture,,,,,,,,,,,,,,,,,,,
